1	58	0	0	31.0	15.0	1000.0	2	2	68	3.1000001	0.75	1.0	0	1	5
1	58	0	1	62.0	30.0	2000.0	46	46	10	6.2000003	1.5	2.0	2	1	3
1	58	0	2	16.0	7.5	750.0	52	52	7	1.6	0.375	0.75000006	4	1	9
1	58	0	3	53.5	64.0	2000.0	5	5	40	5.35	3.2	2.0	3	1	1
1	58	0	4	16.0	7.5	750.0	81	81	14	1.6	0.375	0.75000006	2	1	8
1	58	0	5	124.5	160.0	4000.0	42	42	53	12.45	8.0	4.0	0	1	11
1	58	0	6	124.5	160.0	4000.0	64	64	57	12.45	8.0	4.0	3	1	5
1	58	0	7	8.0	3.75	500.0	68	68	60	0.8	0.1875	0.5	0	1	8
2	21	0	0	53.5	64.0	2000.0	96	96	76	5.35	3.2	2.0	0	2	5
2	21	0	1	53.5	64.0	2000.0	90	90	79	5.35	3.2	2.0	2	2	5
2	21	0	2	31.0	15.0	1000.0	1	1	8	3.1000001	0.75	1.0	0	2	2
2	21	0	3	8.0	3.75	500.0	30	30	57	0.8	0.1875	0.5	2	2	2
2	21	0	4	8.0	3.75	500.0	25	25	17	0.8	0.1875	0.5	3	2	2
2	29	0	0	124.5	160.0	4000.0	73	73	54	12.45	8.0	4.0	0	2	3
2	29	0	1	53.5	64.0	2000.0	44	44	9	5.35	3.2	2.0	1	2	3
2	29	0	2	26.0	32.0	1000.0	37	37	17	2.6000001	1.6	1.0	4	2	5
2	29	0	3	13.0	16.0	750.0	59	59	50	1.3000001	0.8	0.75000006	3	2	3
2	29	0	4	31.0	15.0	1000.0	35	35	84	3.1000001	0.75	1.0	4	2	5
2	29	0	5	124.5	160.0	4000.0	66	66	54	12.45	8.0	4.0	3	2	3
2	58	0	0	124.5	160.0	4000.0	76	76	73	12.45	8.0	4.0	0	1	5
2	58	0	1	16.0	7.5	750.0	61	61	58	1.6	0.375	0.75000006	2	1	3
2	58	0	2	124.5	160.0	4000.0	32	32	15	12.45	8.0	4.0	4	1	9
2	58	0	4	124.5	160.0	4000.0	8	8	93	12.45	8.0	4.0	2	1	8
2	58	0	5	26.0	32.0	1000.0	97	97	62	2.6000001	1.6	1.0	0	1	11
2	58	0	6	26.0	32.0	1000.0	56	56	91	2.6000001	1.6	1.0	3	1	5
2	58	0	7	16.0	7.5	750.0	61	61	40	1.6	0.375	0.75000006	0	1	8
2	77	0	0	124.5	160.0	4000.0	15	15	15	12.45	8.0	4.0	4	2	12
2	77	0	1	53.5	64.0	2000.0	16	16	31	5.35	3.2	2.0	1	2	3
2	77	0	2	31.0	15.0	1000.0	68	68	66	3.1000001	0.75	1.0	4	2	5
3	21	0	0	31.0	15.0	1000.0	24	24	15	3.1000001	0.75	1.0	0	2	5
3	21	0	1	26.0	32.0	1000.0	79	79	24	2.6000001	1.6	1.0	2	2	5
3	29	0	0	31.0	15.0	1000.0	46	46	61	3.1000001	0.75	1.0	0	2	3
3	29	0	1	62.0	30.0	2000.0	61	61	54	6.2000003	1.5	2.0	1	2	3
3	29	0	2	26.0	32.0	1000.0	49	49	57	2.6000001	1.6	1.0	4	2	5
3	29	0	3	53.5	64.0	2000.0	8	8	59	5.35	3.2	2.0	3	2	3
3	29	0	4	31.0	15.0	1000.0	81	81	74	3.1000001	0.75	1.0	4	2	5
3	29	0	5	8.0	3.75	500.0	3	3	38	0.8	0.1875	0.5	3	2	3
3	29	0	6	8.0	3.75	500.0	1	1	86	0.8	0.1875	0.5	3	3	3
3	29	0	7	53.5	64.0	2000.0	45	45	98	5.35	3.2	2.0	1	3	3
3	55	0	0	31.0	15.0	1000.0	87	87	40	3.1000001	0.75	1.0	4	3	4
3	55	0	1	16.0	7.5	750.0	15	15	1	1.6	0.375	0.75000006	0	3	19
3	55	0	2	124.5	160.0	4000.0	82	82	81	12.45	8.0	4.0	1	3	8
3	55	0	3	349.0	1952.0	10000.0	77	77	35	34.9	97.6	10.0	4	3	4
3	55	0	4	124.5	160.0	4000.0	71	71	77	12.45	8.0	4.0	2	3	4
3	55	0	5	16.0	7.5	750.0	29	29	42	1.6	0.375	0.75000006	3	3	9
